Year,latitude,longitude,lamb_exported,Country
2011,37.09024,-95.712891, 1,795 ,US
2011,35.86166,104.195397, 1,337 ,China
2011,23.424076,53.847818,979,UAE
2011,-6.314993,143.95555,508,Papua New Guinea
2011,30.585164,36.238414,328,Jordan
2011,25.354826,51.183884,53,Qatar
2011,4.210484,101.975766,137,Malaysia
2011,36.204824,138.252924,519,Japan
2011,55.378051,-3.435973,636,United Kingdom
2011,25.930414,50.637772,1,Bahrain
2012,37.09024,-95.712891, 1,948 ,US
2012,35.86166,104.195397, 1,571 ,China
2012,23.424076,53.847818, 1,041 ,UAE
2012,-6.314993,143.95555,834,Papua New Guinea
2012,30.585164,36.238414,938,Jordan
2012,25.354826,51.183884,529,Qatar
2012,4.210484,101.975766,140,Malaysia
2012,36.204824,138.252924,496,Japan
2012,55.378051,-3.435973,572,United Kingdom
2012,25.930414,50.637772,0,Bahrain
2013,37.09024,-95.712891, 3,348 ,US
2013,35.86166,104.195397, 2,694 ,China
2013,23.424076,53.847818, 1,180 ,UAE
2013,-6.314993,143.95555,854,Papua New Guinea
2013,30.585164,36.238414,570,Jordan
2013,25.354826,51.183884,309,Qatar
2013,4.210484,101.975766,271,Malaysia
2013,36.204824,138.252924,407,Japan
2013,55.378051,-3.435973,618,United Kingdom
2013,25.930414,50.637772, 1,187 ,Bahrain
2014,37.09024,-95.712891, 3,428 ,US
2014,35.86166,104.195397, 2,821 ,China
2014,23.424076,53.847818, 1,316 ,UAE
2014,-6.314993,143.95555,705,Papua New Guinea
2014,30.585164,36.238414,799,Jordan
2014,25.354826,51.183884,654,Qatar
2014,4.210484,101.975766,440,Malaysia
2014,36.204824,138.252924,674,Japan
2014,55.378051,-3.435973,806,United Kingdom
2014,25.930414,50.637772, 1,118 ,Bahrain
2015,37.09024,-95.712891, 3,490 ,US
2015,35.86166,104.195397, 2,035 ,China
2015,23.424076,53.847818, 1,530 ,UAE
2015,-6.314993,143.95555,681,Papua New Guinea
2015,30.585164,36.238414,806,Jordan
2015,25.354826,51.183884,945,Qatar
2015,4.210484,101.975766,425,Malaysia
2015,36.204824,138.252924,576,Japan
2015,55.378051,-3.435973,729,United Kingdom
2015,25.930414,50.637772,604,Bahrain
2016,37.09024,-95.712891, 4,284 ,US
2016,35.86166,104.195397, 2,249 ,China
2016,23.424076,53.847818, 1,852 ,UAE
2016,-6.314993,143.95555, 1,126 ,Papua New Guinea
2016,30.585164,36.238414,862,Jordan
2016,25.354826,51.183884, 1,112 ,Qatar
2016,4.210484,101.975766,442,Malaysia
2016,36.204824,138.252924,789,Japan
2016,55.378051,-3.435973,574,United Kingdom
2016,25.930414,50.637772,16,Bahrain
2017,37.09024,-95.712891, 4,904 ,US
2017,35.86166,104.195397, 4,325 ,China
2017,23.424076,53.847818, 1,690 ,UAE
2017,-6.314993,143.95555,767,Papua New Guinea
2017,30.585164,36.238414,659,Jordan
2017,25.354826,51.183884,961,Qatar
2017,4.210484,101.975766,907,Malaysia
2017,36.204824,138.252924,523,Japan
2017,55.378051,-3.435973,635,United Kingdom
2017,25.930414,50.637772,30,Bahrain
2018,37.09024,-95.712891, 4,140 ,US
2018,35.86166,104.195397, 4,007 ,China
2018,23.424076,53.847818, 1,524 ,UAE
2018,-6.314993,143.95555,499,Papua New Guinea
2018,30.585164,36.238414,697,Jordan
2018,25.354826,51.183884, 1,340 ,Qatar
2018,4.210484,101.975766,492,Malaysia
2018,36.204824,138.252924,696,Japan
2018,55.378051,-3.435973,261,United Kingdom
2018,25.930414,50.637772,38,Bahrain
2019,37.09024,-95.712891, 5,593 ,US
2019,35.86166,104.195397, 3,466 ,China
2019,23.424076,53.847818, 1,758 ,UAE
2019,-6.314993,143.95555,880,Papua New Guinea
2019,30.585164,36.238414,635,Jordan
2019,25.354826,51.183884, 2,101 ,Qatar
2019,4.210484,101.975766,417,Malaysia
2019,36.204824,138.252924,777,Japan
2019,55.378051,-3.435973,254,United Kingdom
2019,25.930414,50.637772,17,Bahrain
2020,37.09024,-95.712891, 5,115 ,US
2020,35.86166,104.195397, 5,260 ,China
2020,23.424076,53.847818, 1,769 ,UAE
2020,-6.314993,143.95555,634,Papua New Guinea
2020,30.585164,36.238414,922,Jordan
2020,25.354826,51.183884, 1,665 ,Qatar
2020,4.210484,101.975766,631,Malaysia
2020,36.204824,138.252924,782,Japan
2020,55.378051,-3.435973,711,United Kingdom
2020,25.930414,50.637772,128,Bahrain
2021,37.09024,-95.712891, 3,562 ,US
2021,35.86166,104.195397, 2,078 ,China
2021,23.424076,53.847818, 1,140 ,UAE
2021,-6.314993,143.95555,932,Papua New Guinea
2021,30.585164,36.238414,156,Jordan
2021,25.354826,51.183884,575,Qatar
2021,4.210484,101.975766,318,Malaysia
2021,36.204824,138.252924,382,Japan
2021,55.378051,-3.435973,273,United Kingdom
2021,25.930414,50.637772,39,Bahrain
